chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1996-01-20,1,The World I Know,Collective Soul,NEW,1,Gains In Performance
1996-01-20,2,Waiting For Tonight,Tom Petty And The Heartbreakers,NEW,1,Gains In Performance
1996-01-20,3,Name,Goo Goo Dolls,NEW,1,Gains In Performance
1996-01-20,4,My Friends,Red Hot Chili Peppers,NEW,1,Gains In Performance
1996-01-20,5,Give Me One Reason,Tracy Chapman,NEW,1,Gains In Performance
1996-01-20,6,1979,The Smashing Pumpkins,NEW,1,Gains In Performance
1996-01-20,7,Good Intentions,Toad The Wet Sprocket,NEW,1,Gains In Performance
1996-01-20,8,Wonder,Natalie Merchant,NEW,1,Gains In Performance
1996-01-20,9,(You're) My World,Joe Satriani,NEW,1,Gains In Performance
1996-01-20,10,Wonderwall,Oasis,NEW,1,Gains In Performance
1996-01-20,11,Free As A Bird,The Beatles,NEW,1,Gains In Performance
1996-01-20,12,Try Try Try,Julian Cope,NEW,1,Gains In Performance
1996-01-20,13,Go Walking Down There,Chris Isaak,NEW,1,Gains In Performance
1996-01-20,14,Cry Love,John Hiatt,NEW,1,Gains In Performance
1996-01-20,15,Satellite,Dave Matthews Band,NEW,1,Gains In Performance
1996-01-20,16,One Of Us,Joan Osborne,NEW,1,Gains In Performance
1996-01-20,17,I Want To Come Over,Melissa Etheridge,NEW,1,Gains In Performance
1996-01-20,18,Breakfast At Tiffany's,Deep Blue Something,NEW,1,Gains In Performance
1996-01-20,19,Sense Of Purpose,Pretenders,NEW,1,Gains In Performance
1996-01-20,20,Youngstown,Bruce Springsteen,NEW,1,Gains In Performance
1996-01-27,1,Waiting For Tonight,Tom Petty And The Heartbreakers,2,2,
1996-01-27,2,The World I Know,Collective Soul,1,2,
1996-01-27,3,1979,The Smashing Pumpkins,6,2,
1996-01-27,4,Give Me One Reason,Tracy Chapman,5,2,
1996-01-27,5,Name,Goo Goo Dolls,3,2,
1996-01-27,6,Good Intentions,Toad The Wet Sprocket,7,2,
1996-01-27,7,Satellite,Dave Matthews Band,15,2,
1996-01-27,8,My Friends,Red Hot Chili Peppers,4,2,
1996-01-27,9,Wonderwall,Oasis,10,2,
1996-01-27,10,Cry Love,John Hiatt,14,2,
1996-01-27,11,Go Walking Down There,Chris Isaak,13,2,
1996-01-27,12,I Want To Come Over,Melissa Etheridge,17,2,
1996-01-27,13,Try Try Try,Julian Cope,12,2,
1996-01-27,14,Fear Of Falling,The Badlees,NEW,1,
1996-01-27,15,Caught A Lite Sneeze,Tori Amos,NEW,1,
1996-01-27,16,Jealousy,Natalie Merchant,NEW,1,
1996-01-27,17,Wonder,Natalie Merchant,8,2,
1996-01-27,18,(You're) My World,Joe Satriani,9,2,
1996-01-27,19,Free As A Bird,The Beatles,11,2,
1996-01-27,20,Youngstown,Bruce Springsteen,20,2,
1996-02-03,1,The World I Know,Collective Soul,2,3,Gains In Performance
1996-02-03,2,Waiting For Tonight,Tom Petty And The Heartbreakers,1,3,
1996-02-03,3,1979,The Smashing Pumpkins,3,3,Gains In Performance
1996-02-03,4,Give Me One Reason,Tracy Chapman,4,3,Gains In Performance
1996-02-03,5,Wonderwall,Oasis,9,3,Gains In Performance
1996-02-03,6,I Want To Come Over,Melissa Etheridge,12,3,Gains In Performance
1996-02-03,7,Caught A Lite Sneeze,Tori Amos,15,2,Gains In Performance
1996-02-03,8,Satellite,Dave Matthews Band,7,3,
1996-02-03,9,Name,Goo Goo Dolls,5,3,
1996-02-03,10,Go Walking Down There,Chris Isaak,11,3,
1996-02-03,11,Jealousy,Natalie Merchant,16,2,
1996-02-03,12,Fear Of Falling,The Badlees,14,2,
1996-02-03,13,Try Try Try,Julian Cope,13,3,
1996-02-03,14,Cry Love,John Hiatt,10,3,
1996-02-03,15,Good Intentions,Toad The Wet Sprocket,6,3,
1996-02-03,16,My Friends,Red Hot Chili Peppers,8,3,
1996-02-03,17,Wonder,Natalie Merchant,17,3,
1996-02-03,18,Free As A Bird,The Beatles,19,3,
1996-02-03,19,Ironic,Alanis Morissette,NEW,1,Gains In Performance
1996-02-03,20,Ladder,Joan Osborne,NEW,1,Gains In Performance
1996-02-10,1,The World I Know,Collective Soul,1,4,Gains In Performance
1996-02-10,2,Waiting For Tonight,Tom Petty And The Heartbreakers,2,4,
1996-02-10,3,Give Me One Reason,Tracy Chapman,4,4,Gains In Performance
1996-02-10,4,Follow You Down,Gin Blossoms,NEW,1,Gains In Performance
1996-02-10,5,1979,The Smashing Pumpkins,3,4,
1996-02-10,6,Wonderwall,Oasis,5,4,
1996-02-10,7,Satellite,Dave Matthews Band,8,4,Gains In Performance
1996-02-10,8,I Want To Come Over,Melissa Etheridge,6,4,Gains In Performance
1996-02-10,9,Caught A Lite Sneeze,Tori Amos,7,3,
1996-02-10,10,Ironic,Alanis Morissette,19,2,Gains In Performance
1996-02-10,11,Fear Of Falling,The Badlees,12,3,Gains In Performance
1996-02-10,12,Some Bridges,Jackson Browne,NEW,1,Gains In Performance
1996-02-10,13,Name,Goo Goo Dolls,9,4,
1996-02-10,14,Jealousy,Natalie Merchant,11,3,Gains In Performance
1996-02-10,15,Go Walking Down There,Chris Isaak,10,4,
1996-02-10,16,Try Try Try,Julian Cope,13,4,
1996-02-10,17,My Friends,Red Hot Chili Peppers,16,4,Gains In Performance
1996-02-10,18,Cry Love,John Hiatt,14,4,
1996-02-10,19,Wonder,Natalie Merchant,17,4,
1996-02-10,20,One Of Us,Joan Osborne,RE,2,Gains In Performance
1996-02-17,1,The World I Know,Collective Soul,1,5,
1996-02-17,2,Follow You Down,Gin Blossoms,4,2,Gains In Performance
1996-02-17,3,Waiting For Tonight,Tom Petty And The Heartbreakers,2,5,
1996-02-17,4,Give Me One Reason,Tracy Chapman,3,5,
1996-02-17,5,1979,The Smashing Pumpkins,5,5,
1996-02-17,6,I Want To Come Over,Melissa Etheridge,8,5,Gains In Performance
1996-02-17,7,Caught A Lite Sneeze,Tori Amos,9,4,Gains In Performance
1996-02-17,8,Wonderwall,Oasis,6,5,
1996-02-17,9,Ironic,Alanis Morissette,10,3,Gains In Performance
1996-02-17,10,Fear Of Falling,The Badlees,11,4,Gains In Performance
1996-02-17,11,Some Bridges,Jackson Browne,12,2,Gains In Performance
1996-02-17,12,Satellite,Dave Matthews Band,7,5,
1996-02-17,13,Name,Goo Goo Dolls,13,5,
1996-02-17,14,Try Try Try,Julian Cope,16,5,Gains In Performance
1996-02-17,15,Jealousy,Natalie Merchant,14,4,
1996-02-17,16,Cry Love,John Hiatt,18,5,Gains In Performance
1996-02-17,17,Time,Hootie & The Blowfish,NEW,1,Gains In Performance
1996-02-17,18,Drown,Son Volt,NEW,1,Gains In Performance
1996-02-17,19,Flood,Jars of Clay,NEW,1,Gains In Performance
1996-02-17,20,Everything Falls Apart,dog's eye view,NEW,1,Gains In Performance
1996-02-24,1,Follow You Down,Gin Blossoms,2,3,Gains In Performance
1996-02-24,2,The World I Know,Collective Soul,1,6,
1996-02-24,3,1979,The Smashing Pumpkins,5,6,Gains In Performance
1996-02-24,4,Give Me One Reason,Tracy Chapman,4,6,
1996-02-24,5,I Want To Come Over,Melissa Etheridge,6,6,
1996-02-24,6,Caught A Lite Sneeze,Tori Amos,7,5,Gains In Performance
1996-02-24,7,Waiting For Tonight,Tom Petty And The Heartbreakers,3,6,
1996-02-24,8,Ironic,Alanis Morissette,9,4,Gains In Performance
1996-02-24,9,Wonderwall,Oasis,8,6,
1996-02-24,10,Jealousy,Natalie Merchant,15,5,Gains In Performance
1996-02-24,11,Some Bridges,Jackson Browne,11,3,
1996-02-24,12,Fear Of Falling,The Badlees,10,5,
1996-02-24,13,Satellite,Dave Matthews Band,12,6,
1996-02-24,14,Everything Falls Apart,dog's eye view,20,2,Gains In Performance
1996-02-24,15,Try Try Try,Julian Cope,14,6,Gains In Performance
1996-02-24,16,Let Your Soul Be Your Pilot,Sting,NEW,1,Gains In Performance
1996-02-24,17,Ladder,Joan Osborne,RE,2,Gains In Performance
1996-02-24,18,Name,Goo Goo Dolls,13,6,
1996-02-24,19,Drown,Son Volt,18,2,
1996-02-24,20,Flood,Jars of Clay,19,2,
1996-03-02,1,Follow You Down,Gin Blossoms,1,4,Gains In Performance
1996-03-02,2,The World I Know,Collective Soul,2,7,
1996-03-02,3,Give Me One Reason,Tracy Chapman,4,7,Gains In Performance
1996-03-02,4,Caught A Lite Sneeze,Tori Amos,6,6,Gains In Performance
1996-03-02,5,1979,The Smashing Pumpkins,3,7,
1996-03-02,6,Wonderwall,Oasis,9,7,Gains In Performance
1996-03-02,7,Ironic,Alanis Morissette,8,5,Gains In Performance
1996-03-02,8,A Common Disaster,Cowboy Junkies,NEW,1,Gains In Performance
1996-03-02,9,Everything Falls Apart,dog's eye view,14,3,Gains In Performance
1996-03-02,10,Flood,Jars of Clay,20,3,Gains In Performance
1996-03-02,11,I Want To Come Over,Melissa Etheridge,5,7,
1996-03-02,12,Some Bridges,Jackson Browne,11,4,Gains In Performance
1996-03-02,13,Let Your Soul Be Your Pilot,Sting,16,2,Gains In Performance
1996-03-02,14,Waiting For Tonight,Tom Petty And The Heartbreakers,7,7,
1996-03-02,15,Jealousy,Natalie Merchant,10,6,Gains In Performance
1996-03-02,16,Satellite,Dave Matthews Band,13,7,Gains In Performance
1996-03-02,17,Ladder,Joan Osborne,17,3,
1996-03-02,18,Fear Of Falling,The Badlees,12,6,
1996-03-02,19,Brother,Toad The Wet Sprocket,NEW,1,Gains In Performance
1996-03-02,20,Drown,Son Volt,19,3,
1996-03-09,1,Follow You Down,Gin Blossoms,1,5,
1996-03-09,2,The World I Know,Collective Soul,2,8,
1996-03-09,3,Caught A Lite Sneeze,Tori Amos,4,7,Gains In Performance
1996-03-09,4,Let Your Soul Be Your Pilot,Sting,13,3,Gains In Performance
1996-03-09,5,1979,The Smashing Pumpkins,5,8,
1996-03-09,6,Give Me One Reason,Tracy Chapman,3,8,
1996-03-09,7,I Want To Come Over,Melissa Etheridge,11,8,Gains In Performance
1996-03-09,8,Everything Falls Apart,dog's eye view,9,4,Gains In Performance
1996-03-09,9,Some Bridges,Jackson Browne,12,5,Gains In Performance
1996-03-09,10,Jealousy,Natalie Merchant,15,7,Gains In Performance
1996-03-09,11,A Common Disaster,Cowboy Junkies,8,2,Gains In Performance
