chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1988-09-10,1,Peek-A-Boo,Siouxsie & The Banshees,NEW,1,
1988-09-10,2,Just Play Music!,Big Audio,NEW,1,
1988-09-10,3,Crash,The Primitives,NEW,1,
1988-09-10,4,Breakfast In Bed,UB40 & Chrissie Hynde,NEW,1,
1988-09-10,5,Tumblin' Down,Ziggy Marley And The Melody Makers,NEW,1,
1988-09-10,6,Intoxication,Shriekback,NEW,1,
1988-09-10,7,All That Money Wants,Psychedelic Furs,NEW,1,
1988-09-10,8,Wild Wild West,The Escape Club,NEW,1,
1988-09-10,9,What's The Matter Here?,"10,000 Maniacs",NEW,1,
1988-09-10,10,What's On Your Mind (Pure Energy),Information Society,NEW,1,
1988-09-10,11,Christine,House Of Love,NEW,1,
1988-09-10,12,Up There Down There,Patti Smith,NEW,1,
1988-09-10,13,High Time,Icicle Works,NEW,1,
1988-09-10,14,"Liar, Liar",Debbie Harry,NEW,1,
1988-09-10,15,Don't Go,Hothouse Flowers,NEW,1,
1988-09-10,16,Dumb Things,Paul Kelly & The Messengers,NEW,1,
1988-09-10,17,Motorcrash,The Sugarcubes,NEW,1,
1988-09-10,18,Back On The Breadline,Hunters & Collectors,NEW,1,
1988-09-10,19,Don't Walk Away,Toni Childs,NEW,1,
1988-09-10,20,All I Wanted,In Tua Nua,NEW,1,
1988-09-10,21,What I Am,Edie Brickell & New Bohemians,NEW,1,Gains In Performance
1988-09-10,22,Glad I'm Not A Kennedy,Shona Laing,NEW,1,
1988-09-10,23,So Excited,Ranking Roger,NEW,1,
1988-09-10,24,Talkin' Bout A Revolution,Tracy Chapman,NEW,1,
1988-09-10,25,Chains Of Love,Erasure,NEW,1,
1988-09-10,26,Crystal Palace,The Bible,NEW,1,
1988-09-10,27,Don't Let It Break You Down,Graham Parker,NEW,1,
1988-09-10,28,Never Tear Us Apart,INXS,NEW,1,Gains In Performance
1988-09-10,29,Better Be Home Soon,Crowded House,NEW,1,
1988-09-10,30,Living For You,Joan Armatrading,NEW,1,Gains In Performance
1988-09-17,1,Just Play Music!,Big Audio,2,2,
1988-09-17,2,Peek-A-Boo,Siouxsie & The Banshees,1,2,
1988-09-17,3,All That Money Wants,Psychedelic Furs,7,2,
1988-09-17,4,Crash,The Primitives,3,2,
1988-09-17,5,Breakfast In Bed,UB40 & Chrissie Hynde,4,2,
1988-09-17,6,Up There Down There,Patti Smith,12,2,
1988-09-17,7,Wild Wild West,The Escape Club,8,2,
1988-09-17,8,Christine,House Of Love,11,2,
1988-09-17,9,Intoxication,Shriekback,6,2,
1988-09-17,10,Don't Go,Hothouse Flowers,15,2,
1988-09-17,11,Jesus Christ,U2,NEW,1,Gains In Performance
1988-09-17,12,Back On The Breadline,Hunters & Collectors,18,2,
1988-09-17,13,Tumblin' Down,Ziggy Marley And The Melody Makers,5,2,
1988-09-17,14,What I Am,Edie Brickell & New Bohemians,21,2,
1988-09-17,15,What's On Your Mind (Pure Energy),Information Society,10,2,
1988-09-17,16,Anchorage,Michelle Shocked,NEW,1,Gains In Performance
1988-09-17,17,All I Wanted,In Tua Nua,20,2,
1988-09-17,18,Another Kind Of Love,Hugh Cornwell,NEW,1,Gains In Performance
1988-09-17,19,Shark Walk,Shriekback,NEW,1,Gains In Performance
1988-09-17,20,What's The Matter Here?,"10,000 Maniacs",9,2,
1988-09-17,21,Motorcrash,The Sugarcubes,17,2,
