chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
2006-01-14,1,Wicked,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,2,Rent: The Best Of: Highlights From The Original Cast Album,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,3,Rent,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,4,Monty Python's Spamalot,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,5,The Phantom Of The Opera: Highlights,Original London Cast Recording,NEW,1,Gains In Performance
2006-01-14,6,Mamma Mia!,Original Cast Recording,NEW,1,Gains In Performance
2006-01-14,7,Avenue Q: The Musical,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,8,The Phantom Of The Opera,Original London Cast Recording,NEW,1,Gains In Performance
2006-01-14,9,Hairspray,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,10,Les Miserables: Highlights From,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,11,The Lion King,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,12,The Woman In White,Original London Cast Recording,NEW,1,Gains In Performance
2006-01-14,13,25th Annual Putnam County Spelling Bee,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,14,West Side Story,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-14,15,The Producers,Original Broadway Cast Recording,NEW,1,Gains In Performance
2006-01-21,1,Wicked,Original Broadway Cast Recording,1,2,
2006-01-21,2,Mamma Mia!,Original Cast Recording,6,2,Gains In Performance
2006-01-21,3,Rent: The Best Of: Highlights From The Original Cast Album,Original Broadway Cast Recording,2,2,
2006-01-21,4,Rent,Original Broadway Cast Recording,3,2,
2006-01-21,5,The Phantom Of The Opera: Highlights,Original London Cast Recording,5,2,
2006-01-21,6,Monty Python's Spamalot,Original Broadway Cast Recording,4,2,
2006-01-21,7,The Phantom Of The Opera,Original London Cast Recording,8,2,
2006-01-21,8,Hairspray,Original Broadway Cast Recording,9,2,Gains In Performance
2006-01-21,9,Avenue Q: The Musical,Original Broadway Cast Recording,7,2,
2006-01-21,10,Dirty Rotten Scoundrels,Original Broadway Cast Recording,NEW,1,Gains In Performance
