chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1990-01-20,1,Nobody's Home,Clint Black,NEW,1,Gains In Performance
1990-01-20,2,My Arms Stay Open All Night,Tanya Tucker,NEW,1,
1990-01-20,3,Statue Of A Fool,Ricky Van Shelton,NEW,1,Gains In Performance
1990-01-20,4,Southern Star,Alabama,NEW,1,Gains In Performance
1990-01-20,5,It Ain't Nothin',Keith Whitley,NEW,1,
1990-01-20,6,It's You Again,Skip Ewing,NEW,1,Gains In Performance
1990-01-20,7,When I Could Come Home To You,Steve Wariner,NEW,1,Gains In Performance
1990-01-20,8,Many A Long & Lonesome Highway,Rodney Crowell,NEW,1,
1990-01-20,9,That Just About Does It,Vern Gosdin,NEW,1,Gains In Performance
1990-01-20,10,Start All Over Again,The Desert Rose Band,NEW,1,Gains In Performance
1990-01-20,11,Out Of Your Shoes,Lorrie Morgan,NEW,1,
1990-01-20,12,On Second Thought,Eddie Rabbitt,NEW,1,Gains In Performance
1990-01-20,13,One Man Woman,The Judds,NEW,1,Gains In Performance
1990-01-20,14,Till I Can't Take It Anymore,Billy Joe Royal,NEW,1,
1990-01-20,15,Overnight Success,George Strait,NEW,1,Gains In Performance
1990-01-20,16,Where've You Been,Kathy Mattea,NEW,1,Gains In Performance
1990-01-20,17,A Woman In Love,Ronnie Milsap,NEW,1,
1990-01-20,18,Who's Lonely Now,Highway 101,NEW,1,
1990-01-20,19,There You Are,Willie Nelson,NEW,1,Gains In Performance
1990-01-20,20,No Matter How High,The Oak Ridge Boys,NEW,1,Gains In Performance
1990-01-20,21,Two Dozen Roses,Shenandoah,NEW,1,
1990-01-20,22,If Tomorrow Never Comes,Garth Brooks,NEW,1,
1990-01-20,23,I've Been Loved By The Best,Don Williams,NEW,1,
1990-01-20,24,In My Eyes,Lionel Cartwright,NEW,1,
1990-01-20,25,I Can't Turn The Tide,Baillie and the Boys,NEW,1,Gains In Performance
1990-01-20,26,When It's Gone,Nitty Gritty Dirt Band,NEW,1,
1990-01-20,27,"She's Gone, Gone, Gone",Glen Campbell,NEW,1,
1990-01-20,28,Leave It Alone,The Forester Sisters,NEW,1,Gains In Performance
1990-01-20,29,There Goes My Heart Again,Holly Dunn,NEW,1,
1990-01-20,30,All The Fun,Paul Overstreet,NEW,1,
1990-01-20,31,Little Girl,Reba McEntire,NEW,1,Gains In Performance
1990-01-20,32,Fast Movin' Train,Restless Heart,NEW,1,Gains In Performance
1990-01-20,33,It's Just A Matter Of Time,Randy Travis,NEW,1,
1990-01-20,34,Yellow Roses,Dolly Parton,NEW,1,
1990-01-20,35,Keep It In The Middle Of The Road,Exile,NEW,1,Gains In Performance
1990-01-20,36,Heartbreak Hurricane,Ricky Skaggs,NEW,1,Gains In Performance
1990-01-20,37,If You Want To Be My Woman,Merle Haggard,NEW,1,Gains In Performance
1990-01-20,38,High Cotton,Alabama,NEW,1,
1990-01-20,39,Country Club,Travis Tritt,NEW,1,
1990-01-20,40,Simple Man,The Charlie Daniels Band,NEW,1,
1990-01-20,41,Chains,Patty Loveless,NEW,1,Gains In Performance
1990-01-20,42,The Vows Go Unbroken (Always True To You),Kenny Rogers,NEW,1,
1990-01-20,43,Bayou Boys,Eddy Raven,NEW,1,
1990-01-20,44,The Race Is On,Sawyer Brown,NEW,1,
1990-01-20,45,The Lonely Side Of Love,Patty Loveless,NEW,1,
1990-01-20,46,Sooner Or Later,Eddy Raven,NEW,1,Gains In Performance
1990-01-20,47,Tell Me Why,Jann Browne,NEW,1,Gains In Performance
1990-01-20,48,Time's Up,Southern Pacific & Carlene Carter,NEW,1,Gains In Performance
1990-01-20,49,If Your Heart Should Ever Roll This Way Again,Jo-El Sonnier,NEW,1,
1990-01-20,50,Quit While I'm Behind,Jennifer McCarter & The McCarters,NEW,1,Gains In Performance
1990-01-20,51,Seein' My Father In Me,Paul Overstreet,NEW,1,Gains In Performance
1990-01-20,52,Amy's Eyes,Charley Pride,NEW,1,Gains In Performance
1990-01-20,53,Ace In The Hole,George Strait,NEW,1,
1990-01-20,54,Til Love Comes Again,Reba McEntire,NEW,1,
1990-01-20,55,Never Had It So Good,Mary Chapin Carpenter,NEW,1,
1990-01-20,56,Burnin' Old Memories,Kathy Mattea,NEW,1,
1990-01-20,57,Not Counting You,Garth Brooks,NEW,1,Gains In Performance
1990-01-20,58,He's Alive,Dolly Parton,NEW,1,
1990-01-20,59,Say What's In Your Heart,Restless Heart,NEW,1,
1990-01-20,60,Let It Be You,Ricky Skaggs,NEW,1,
1990-01-27,1,Nobody's Home,Clint Black,1,2,Gains In Performance
1990-01-27,2,My Arms Stay Open All Night,Tanya Tucker,2,2,Gains In Performance
1990-01-27,3,Statue Of A Fool,Ricky Van Shelton,3,2,Gains In Performance
1990-01-27,4,Southern Star,Alabama,4,2,Gains In Performance
1990-01-27,5,When I Could Come Home To You,Steve Wariner,7,2,Gains In Performance
1990-01-27,6,It's You Again,Skip Ewing,6,2,Gains In Performance
1990-01-27,7,Start All Over Again,The Desert Rose Band,10,2,Gains In Performance
1990-01-27,8,One Man Woman,The Judds,13,2,Gains In Performance
1990-01-27,9,On Second Thought,Eddie Rabbitt,12,2,Gains In Performance
1990-01-27,10,Many A Long & Lonesome Highway,Rodney Crowell,8,2,
1990-01-27,11,Where've You Been,Kathy Mattea,16,2,Gains In Performance
1990-01-27,12,No Matter How High,The Oak Ridge Boys,20,2,Gains In Performance
1990-01-27,13,It Ain't Nothin',Keith Whitley,5,2,
1990-01-27,14,Overnight Success,George Strait,15,2,Gains In Performance
1990-01-27,15,That Just About Does It,Vern Gosdin,9,2,
1990-01-27,16,Out Of Your Shoes,Lorrie Morgan,11,2,
1990-01-27,17,I Can't Turn The Tide,Baillie and the Boys,25,2,Gains In Performance
1990-01-27,18,In My Eyes,Lionel Cartwright,24,2,Gains In Performance
1990-01-27,19,A Woman In Love,Ronnie Milsap,17,2,
1990-01-27,20,There You Are,Willie Nelson,19,2,
1990-01-27,21,Two Dozen Roses,Shenandoah,21,2,
1990-01-27,22,Leave It Alone,The Forester Sisters,28,2,Gains In Performance
1990-01-27,23,Till I Can't Take It Anymore,Billy Joe Royal,14,2,
1990-01-27,24,Little Girl,Reba McEntire,31,2,Gains In Performance
1990-01-27,25,If Tomorrow Never Comes,Garth Brooks,22,2,
1990-01-27,26,I've Been Loved By The Best,Don Williams,23,2,
1990-01-27,27,Keep It In The Middle Of The Road,Exile,35,2,Gains In Performance
1990-01-27,28,Heartbreak Hurricane,Ricky Skaggs,36,2,Gains In Performance
1990-01-27,29,Who's Lonely Now,Highway 101,18,2,
1990-01-27,30,Fast Movin' Train,Restless Heart,32,2,Gains In Performance
1990-01-27,31,When It's Gone,Nitty Gritty Dirt Band,26,2,
1990-01-27,32,Chains,Patty Loveless,41,2,
1990-01-27,33,If You Want To Be My Woman,Merle Haggard,37,2,Gains In Performance
1990-01-27,34,All The Fun,Paul Overstreet,30,2,
1990-01-27,35,There Goes My Heart Again,Holly Dunn,29,2,
1990-01-27,36,"She's Gone, Gone, Gone",Glen Campbell,27,2,
1990-01-27,37,Time's Up,Southern Pacific & Carlene Carter,48,2,Gains In Performance
1990-01-27,38,Sooner Or Later,Eddy Raven,46,2,Gains In Performance
1990-01-27,39,Country Club,Travis Tritt,39,2,
1990-01-27,40,Yellow Roses,Dolly Parton,34,2,
