chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
2013-01-26,1,Scream & Shout,will.i.am & Britney Spears,NEW,1,
2013-01-26,2,Don't You Worry Child,Swedish House Mafia Featuring John Martin,NEW,1,
2013-01-26,3,Sweet Nothing,Calvin Harris Featuring Florence Welch,NEW,1,
2013-01-26,4,Gangnam Style,PSY,NEW,1,
2013-01-26,5,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,NEW,1,
2013-01-26,6,Rest Of My Life,Ludacris Featuring Usher & David Guetta,NEW,1,
2013-01-26,7,Feel This Moment,Pitbull Featuring Christina Aguilera,NEW,1,
2013-01-26,8,She Wolf (Falling To Pieces),David Guetta Featuring Sia,NEW,1,
2013-01-26,9,Clarity,Zedd Featuring Foxes,NEW,1,
2013-01-26,10,Spectrum,Zedd Featuring Matthew Koma,NEW,1,
2013-01-26,11,Greyhound,Swedish House Mafia,NEW,1,
2013-01-26,12,The Lucky Ones,Kerli,NEW,1,
2013-01-26,13,Numb,Usher,NEW,1,
2013-01-26,14,Beam Me Up (Kill-Mode),Cazzette,NEW,1,
2013-01-26,15,Big Banana,Havana Brown Featuring R3hab,NEW,1,
2013-01-26,16,I Need Your Love,Calvin Harris Featuring Ellie Goulding,NEW,1,
2013-01-26,17,Alive,Krewella,NEW,1,
2013-01-26,18,Summit,Skrillex Featuring Ellie Goulding,NEW,1,
2013-01-26,19,Superlove,Lenny Kravitz,NEW,1,
2013-01-26,20,Gold 2012,Spandau Ballet,NEW,1,
2013-01-26,21,Louder,DJ Fresh Featuring Sian Evans,NEW,1,
2013-01-26,22,Bom Bom,Sam And The Womp!,NEW,1,
2013-01-26,23,Every Day,Eric Prydz,NEW,1,
2013-01-26,24,One Day / Reckoning Song,Asaf Avidan / Wankelmut,NEW,1,
2013-01-26,25,Right In,Skrillex,NEW,1,
2013-01-26,26,Right Now,Rihanna Featuring David Guetta,NEW,1,
2013-01-26,27,Dancing In My Head,Eric Turner vs Avicii,NEW,1,
2013-01-26,28,Bonfire,Knife Party,NEW,1,
2013-01-26,29,Drinking From The Bottle,Calvin Harris Featuring Tinie Tempah,NEW,1,
2013-01-26,30,Professional Griefers,Deadmau5 Featuring Gerard Way,NEW,1,
2013-01-26,31,Feel The Love,Rudimental Featuring John Newman,NEW,1,
2013-01-26,32,The City,Madeon,NEW,1,
2013-01-26,33,Language,Porter Robinson,NEW,1,
2013-01-26,34,Just One Last Time,David Guetta Featuring Taped Rai,NEW,1,
2013-01-26,35,The Devil's Den,Skrillex & Wolfgang Gartner,NEW,1,
2013-01-26,36,Play Hard,David Guetta Featuring Ne-Yo & Akon,NEW,1,
2013-01-26,37,Doomsday,Nero,NEW,1,
2013-01-26,38,A Love I Call My Own,"Crystal Waters, Nicola Fasano, Steve Forest",NEW,1,
2013-01-26,39,Freak,Stereo Missile vs. Carlotta Chadwick,NEW,1,
2013-01-26,40,Million Voices,Otto Knows,NEW,1,
2013-01-26,41,Thinking About You,Calvin Harris Featuring Ayah Marar,NEW,1,
2013-01-26,42,Crystallize,Lindsey Stirling,NEW,1,
2013-01-26,43,Days Turn Into Nights,Delerium,NEW,1,
2013-01-26,44,Lessons In Love,Kaskade Featuring Neon Trees,NEW,1,
2013-01-26,45,Finale,Madeon,NEW,1,
2013-01-26,46,Bring Out The Bottles,RedFoo,NEW,1,
2013-01-26,47,Call Me A Spaceman,Hardwell Featuring Mitch Crown,NEW,1,
2013-01-26,48,Kick Out The Epic Motherf**ker,Dada Life,NEW,1,
2013-01-26,49,Centipede,Knife Party,NEW,1,
2013-01-26,50,Internet Friends,Knife Party,NEW,1,
2013-02-02,1,Scream & Shout,will.i.am & Britney Spears,1,2,Biggest gain in streams|Gains In Performance
2013-02-02,2,Don't You Worry Child,Swedish House Mafia Featuring John Martin,2,2,Biggest gain in airplay|Gains In Performance
2013-02-02,3,Sweet Nothing,Calvin Harris Featuring Florence Welch,3,2,Biggest gain in digital sales|Gains In Performance
2013-02-02,4,Gangnam Style,PSY,4,2,
2013-02-02,5,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,5,2,
2013-02-02,6,Rest Of My Life,Ludacris Featuring Usher & David Guetta,6,2,Gains In Performance
2013-02-02,7,Back To Love,DJ Pauly D Featuring Jay Sean,NEW,1,Highest ranking debut|Gains In Performance
2013-02-02,8,Feel This Moment,Pitbull Featuring Christina Aguilera,7,2,Gains In Performance
2013-02-02,9,Clarity,Zedd Featuring Foxes,9,2,Gains In Performance
2013-02-02,10,She Wolf (Falling To Pieces),David Guetta Featuring Sia,8,2,Gains In Performance
2013-02-02,11,Spectrum,Zedd Featuring Matthew Koma,10,2,
2013-02-02,12,I Love It,Icona Pop Featuring Charli xcx,NEW,1,Gains In Performance
2013-02-02,13,Greyhound,Swedish House Mafia,11,2,Gains In Performance
2013-02-02,14,The Lucky Ones,Kerli,12,2,Gains In Performance
2013-02-02,15,Alive,Krewella,17,2,Gains In Performance
2013-02-02,16,Beam Me Up (Kill-Mode),Cazzette,14,2,Gains In Performance
2013-02-02,17,I Need Your Love,Calvin Harris Featuring Ellie Goulding,16,2,Gains In Performance
2013-02-02,18,Numb,Usher,13,2,
2013-02-02,19,Summit,Skrillex Featuring Ellie Goulding,18,2,
2013-02-02,20,Big Banana,Havana Brown Featuring R3hab,15,2,
2013-02-02,21,One Day / Reckoning Song,Asaf Avidan / Wankelmut,24,2,Gains In Performance
2013-02-02,22,Right Now,Rihanna Featuring David Guetta,26,2,Gains In Performance
2013-02-02,23,Bom Bom,Sam And The Womp!,22,2,
2013-02-02,24,Right In,Skrillex,25,2,
2013-02-02,25,Louder,DJ Fresh Featuring Sian Evans,21,2,
2013-02-02,26,Drinking From The Bottle,Calvin Harris Featuring Tinie Tempah,29,2,Gains In Performance
2013-02-02,27,Superlove,Lenny Kravitz,19,2,
2013-02-02,28,Play Hard,David Guetta Featuring Ne-Yo & Akon,36,2,Gains In Performance
2013-02-02,29,Forever Now,Ne-Yo,NEW,1,Gains In Performance
2013-02-02,30,Alcohol,The Cataracs Featuring Sky Blu,NEW,1,Gains In Performance
2013-02-02,31,Bonfire,Knife Party,28,2,
2013-02-02,32,Every Day,Eric Prydz,23,2,
2013-02-02,33,Dancing In My Head,Eric Turner vs Avicii,27,2,
2013-02-02,34,Just One Last Time,David Guetta Featuring Taped Rai,34,2,Gains In Performance
2013-02-02,35,Professional Griefers,Deadmau5 Featuring Gerard Way,30,2,
2013-02-02,36,Bring Out The Bottles,RedFoo,46,2,Gains In Performance
2013-02-02,37,Apollo,Hardwell Featuring Amba Shepherd,NEW,1,Gains In Performance
2013-02-02,38,Days Turn Into Nights,Delerium,43,2,Gains In Performance
2013-02-02,39,Doomsday,Nero,37,2,Gains In Performance
