chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
2020-09-19,1,WAP,Cardi B Featuring Megan Thee Stallion,NEW,1,Gains In Performance
2020-09-19,2,Dynamite,BTS,NEW,1,Gains In Performance
2020-09-19,3,Mood,24kGoldn Featuring iann dior,NEW,1,Gains In Performance
2020-09-19,4,Hawai,Maluma,NEW,1,Gains In Performance
2020-09-19,5,Laugh Now Cry Later,Drake Featuring Lil Durk,NEW,1,Gains In Performance
2020-09-19,6,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,NEW,1,Gains In Performance
2020-09-19,7,Blinding Lights,The Weeknd,NEW,1,Gains In Performance
2020-09-19,8,Ice Cream,BLACKPINK X Selena Gomez,NEW,1,Gains In Performance
2020-09-19,9,Rockstar,DaBaby Featuring Roddy Ricch,NEW,1,Gains In Performance
2020-09-19,10,Watermelon Sugar,Harry Styles,NEW,1,Gains In Performance
2020-09-19,11,Popstar,DJ Khaled Featuring Drake,NEW,1,Gains In Performance
2020-09-19,12,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,NEW,1,Gains In Performance
2020-09-19,13,Relacion,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",NEW,1,Gains In Performance
2020-09-19,14,Roses,Saint Jhn,NEW,1,Gains In Performance
2020-09-19,15,Mood Swings,Pop Smoke Featuring Lil Tjay,NEW,1,Gains In Performance
2020-09-19,16,Caramelo,Ozuna x Karol G x Myke Towers,NEW,1,Gains In Performance
2020-09-19,17,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",NEW,1,Gains In Performance
2020-09-19,18,Dance Monkey,Tones And I,NEW,1,Gains In Performance
2020-09-19,19,Head & Heart,Joel Corry X MNEK,NEW,1,Gains In Performance
2020-09-19,20,Heather,Conan Gray,NEW,1,Gains In Performance
2020-09-19,21,Breaking Me,Topic & A7S,NEW,1,Gains In Performance
2020-09-19,22,Rain On Me,Lady Gaga & Ariana Grande,NEW,1,Gains In Performance
2020-09-19,23,Midnight Sky,Miley Cyrus,NEW,1,Gains In Performance
2020-09-19,24,Lemonade,Internet Money & Gunna Featuring Don Toliver & Nav,NEW,1,Gains In Performance
2020-09-19,25,"Ay, Dios Mio!",Karol G,NEW,1,Gains In Performance
2020-09-19,26,Go Crazy,Chris Brown & Young Thug,NEW,1,Gains In Performance
2020-09-19,27,Come & Go,Juice WRLD x Marshmello,NEW,1,Gains In Performance
2020-09-19,28,Tattoo,Rauw Alejandro x Camilo,NEW,1,Gains In Performance
2020-09-19,29,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,NEW,1,Gains In Performance
2020-09-19,30,You Broke Me First.,Tate McRae,NEW,1,Gains In Performance
2020-09-19,31,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",NEW,1,Gains In Performance
2020-09-19,32,Someone You Loved,Lewis Capaldi,NEW,1,Gains In Performance
2020-09-19,33,How You Like That,BLACKPINK,NEW,1,Gains In Performance
2020-09-19,34,Before You Go,Lewis Capaldi,NEW,1,Gains In Performance
2020-09-19,35,Kings & Queens,Ava Max,NEW,1,Gains In Performance
2020-09-19,36,Hit Different,SZA Featuring Ty Dolla $ign,NEW,1,Gains In Performance
2020-09-19,37,Don't Start Now,Dua Lipa,NEW,1,Gains In Performance
2020-09-19,38,Greece,DJ Khaled Featuring Drake,NEW,1,Gains In Performance
2020-09-19,39,Life Is Good,Future Featuring Drake,NEW,1,Gains In Performance
2020-09-19,40,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,NEW,1,Gains In Performance
2020-09-19,41,La Curiosidad,DJ Nelson Presenta Jay Wheeler & Myke Towers,NEW,1,Gains In Performance
2020-09-19,42,Tap In,Saweetie,NEW,1,Gains In Performance
2020-09-19,43,Death Bed,Powfu Featuring beabadoobee,NEW,1,Gains In Performance
2020-09-19,44,Take You Dancing,Jason Derulo,NEW,1,Gains In Performance
2020-09-19,45,Jerusalema,Master KG Featuring Burna Boy & Nomcebo Zikode,NEW,1,Gains In Performance
2020-09-19,46,Agua,Tainy x J Balvin,NEW,1,Gains In Performance
2020-09-19,47,Break My Heart,Dua Lipa,NEW,1,Gains In Performance
2020-09-19,48,Wishing Well,Juice WRLD,NEW,1,Gains In Performance
2020-09-19,49,Smile,Juice WRLD & The Weeknd,NEW,1,Gains In Performance
2020-09-19,50,Say So,Doja Cat,NEW,1,Gains In Performance
2020-09-19,51,Circles,Post Malone,NEW,1,Gains In Performance
2020-09-19,52,Savage,Megan Thee Stallion Featuring Beyonce,NEW,1,Gains In Performance
2020-09-19,53,Be Like That,Kane Brown With Swae Lee & Khalid,NEW,1,Gains In Performance
2020-09-19,54,My Ex's Best Friend,Machine Gun Kelly X Blackbear,NEW,1,Gains In Performance
2020-09-19,55,Bad Guy,Billie Eilish,NEW,1,Gains In Performance
2020-09-19,56,ily,Surf Mesa Featuring Emilee,NEW,1,Gains In Performance
2020-09-19,57,Djadja,Aya Nakamura Featuring Maluma,NEW,1,Gains In Performance
2020-09-19,58,Baby Shark,Pinkfong,NEW,1,Gains In Performance
2020-09-19,59,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,NEW,1,Gains In Performance
2020-09-19,60,Stuck With U,Ariana Grande & Justin Bieber,NEW,1,Gains In Performance
2020-09-19,61,Perfect,Ed Sheeran,NEW,1,Gains In Performance
2020-09-19,62,Blueberry Faygo,Lil Mosey,NEW,1,Gains In Performance
2020-09-19,63,Rags2Riches,Rod Wave Featuring ATR Son Son,NEW,1,Gains In Performance
2020-09-19,64,Lithuania,Big Sean Featuring Travis Scott,NEW,1,Gains In Performance
2020-09-19,65,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",NEW,1,Gains In Performance
2020-09-19,66,Dior,Pop Smoke,NEW,1,Gains In Performance
2020-09-19,67,Over Now,Calvin Harris X The Weeknd,NEW,1,Gains In Performance
2020-09-19,68,Wolves,Big Sean Featuring Post Malone,NEW,1,Gains In Performance
2020-09-19,69,Party Girl,StaySolidRocky,NEW,1,Gains In Performance
2020-09-19,70,The Box,Roddy Ricch,NEW,1,Gains In Performance
2020-09-19,71,Adore You,Harry Styles,NEW,1,Gains In Performance
2020-09-19,72,Senorita,Shawn Mendes & Camila Cabello,NEW,1,Gains In Performance
2020-09-19,73,Toosie Slide,Drake,NEW,1,Gains In Performance
2020-09-19,74,Memories,Maroon 5,NEW,1,Gains In Performance
2020-09-19,75,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,NEW,1,Gains In Performance
2020-09-19,76,Intentions,Justin Bieber Featuring Quavo,NEW,1,Gains In Performance
2020-09-19,77,Cardigan,Taylor Swift,NEW,1,Gains In Performance
2020-09-19,78,I Hope,Gabby Barrett,NEW,1,Gains In Performance
2020-09-19,79,Porfa,"Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles",NEW,1,Gains In Performance
2020-09-19,80,Yoru Ni Kakeru,YOASOBI,NEW,1,Gains In Performance
2020-09-19,81,Shallow,Lady Gaga & Bradley Cooper,NEW,1,Gains In Performance
2020-09-19,82,Believer,Imagine Dragons,NEW,1,Gains In Performance
2020-09-19,83,In Your Eyes,The Weeknd,NEW,1,Gains In Performance
2020-09-19,84,Be Kind,Marshmello & Halsey,NEW,1,Gains In Performance
2020-09-19,85,Still Don't Know My Name,Labrinth,NEW,1,Gains In Performance
