chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
2020-09-19,1,Hawai,Maluma,NEW,1,Gains In Performance
2020-09-19,2,Dynamite,BTS,NEW,1,Gains In Performance
2020-09-19,3,WAP,Cardi B Featuring Megan Thee Stallion,NEW,1,Gains In Performance
2020-09-19,4,Mood,24kGoldn Featuring iann dior,NEW,1,Gains In Performance
2020-09-19,5,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,NEW,1,Gains In Performance
2020-09-19,6,Ice Cream,BLACKPINK X Selena Gomez,NEW,1,Gains In Performance
2020-09-19,7,Blinding Lights,The Weeknd,NEW,1,Gains In Performance
2020-09-19,8,Relacion,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",NEW,1,Gains In Performance
2020-09-19,9,Watermelon Sugar,Harry Styles,NEW,1,Gains In Performance
2020-09-19,10,Caramelo,Ozuna x Karol G x Myke Towers,NEW,1,Gains In Performance
2020-09-19,11,Head & Heart,Joel Corry X MNEK,NEW,1,Gains In Performance
2020-09-19,12,Rockstar,DaBaby Featuring Roddy Ricch,NEW,1,Gains In Performance
2020-09-19,13,Roses,Saint Jhn,NEW,1,Gains In Performance
2020-09-19,14,Dance Monkey,Tones And I,NEW,1,Gains In Performance
2020-09-19,15,Popstar,DJ Khaled Featuring Drake,NEW,1,Gains In Performance
2020-09-19,16,Laugh Now Cry Later,Drake Featuring Lil Durk,NEW,1,Gains In Performance
2020-09-19,17,Breaking Me,Topic & A7S,NEW,1,Gains In Performance
2020-09-19,18,Tattoo,Rauw Alejandro x Camilo,NEW,1,Gains In Performance
2020-09-19,19,"Ay, Dios Mio!",Karol G,NEW,1,Gains In Performance
2020-09-19,20,How You Like That,BLACKPINK,NEW,1,Gains In Performance
2020-09-19,21,Rain On Me,Lady Gaga & Ariana Grande,NEW,1,Gains In Performance
2020-09-19,22,Jerusalema,Master KG Featuring Burna Boy & Nomcebo Zikode,NEW,1,Gains In Performance
2020-09-19,23,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,NEW,1,Gains In Performance
2020-09-19,24,Mood Swings,Pop Smoke Featuring Lil Tjay,NEW,1,Gains In Performance
2020-09-19,25,La Curiosidad,DJ Nelson Presenta Jay Wheeler & Myke Towers,NEW,1,Gains In Performance
2020-09-19,26,Midnight Sky,Miley Cyrus,NEW,1,Gains In Performance
2020-09-19,27,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",NEW,1,Gains In Performance
2020-09-19,28,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,NEW,1,Gains In Performance
2020-09-19,29,Heather,Conan Gray,NEW,1,Gains In Performance
2020-09-19,30,Agua,Tainy x J Balvin,NEW,1,Gains In Performance
2020-09-19,31,You Broke Me First.,Tate McRae,NEW,1,Gains In Performance
2020-09-19,32,Djadja,Aya Nakamura Featuring Maluma,NEW,1,Gains In Performance
2020-09-19,33,Someone You Loved,Lewis Capaldi,NEW,1,Gains In Performance
2020-09-19,34,Kings & Queens,Ava Max,NEW,1,Gains In Performance
2020-09-19,35,Don't Start Now,Dua Lipa,NEW,1,Gains In Performance
2020-09-19,36,Take You Dancing,Jason Derulo,NEW,1,Gains In Performance
2020-09-19,37,Yoru Ni Kakeru,YOASOBI,NEW,1,Gains In Performance
2020-09-19,38,Before You Go,Lewis Capaldi,NEW,1,Gains In Performance
2020-09-19,39,Break My Heart,Dua Lipa,NEW,1,Gains In Performance
2020-09-19,40,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",NEW,1,Gains In Performance
2020-09-19,41,Lemonade,Internet Money & Gunna Featuring Don Toliver & Nav,NEW,1,Gains In Performance
2020-09-19,42,Death Bed,Powfu Featuring beabadoobee,NEW,1,Gains In Performance
2020-09-19,43,Greece,DJ Khaled Featuring Drake,NEW,1,Gains In Performance
2020-09-19,44,ily,Surf Mesa Featuring Emilee,NEW,1,Gains In Performance
2020-09-19,45,Bad Guy,Billie Eilish,NEW,1,Gains In Performance
2020-09-19,46,Kanden,Kenshi Yonezu,NEW,1,Gains In Performance
2020-09-19,47,Go Crazy,Chris Brown & Young Thug,NEW,1,Gains In Performance
2020-09-19,48,Mi Cuarto,Jerry Di,NEW,1,Gains In Performance
2020-09-19,49,Mamichula,"Trueno & Nicki Nicole Featuring Taiu, Bizarrap & Tatool",NEW,1,Gains In Performance
2020-09-19,50,Porfa,"Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles",NEW,1,Gains In Performance
2020-09-19,51,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",NEW,1,Gains In Performance
2020-09-19,52,Come & Go,Juice WRLD x Marshmello,NEW,1,Gains In Performance
2020-09-19,53,Say So,Doja Cat,NEW,1,Gains In Performance
2020-09-19,54,Baby Shark,Pinkfong,NEW,1,Gains In Performance
2020-09-19,55,Bande Organisee,"Jul, SCH, Naps, Kofs, Elams, Solda, Houari & Soso Maness",NEW,1,Gains In Performance
2020-09-19,56,Gunjou,YOASOBI,NEW,1,Gains In Performance
2020-09-19,57,Stuck With U,Ariana Grande & Justin Bieber,NEW,1,Gains In Performance
2020-09-19,58,Naked Heart,aimyon,NEW,1,Gains In Performance
2020-09-19,59,Perfect,Ed Sheeran,NEW,1,Gains In Performance
2020-09-19,60,Senorita,Shawn Mendes & Camila Cabello,NEW,1,Gains In Performance
2020-09-19,61,Ayer Me Llamo Mi Ex,KHEA x Natti Natashi x Prince Royce Featuring Lenny Santos,NEW,1,Gains In Performance
2020-09-19,62,Oh Juliana,Niack,NEW,1,Gains In Performance
2020-09-19,63,Shape Of You,Ed Sheeran,NEW,1,Gains In Performance
2020-09-19,64,In Your Eyes,The Weeknd,NEW,1,Gains In Performance
2020-09-19,65,Memories,Maroon 5,NEW,1,Gains In Performance
2020-09-19,66,Elegi,Lenny Tavarez X Rauw Alejandro X Dalex X Dimelo Flow,NEW,1,Gains In Performance
2020-09-19,67,Ride It.,Regard,NEW,1,Gains In Performance
2020-09-19,68,Life Is Good,Future Featuring Drake,NEW,1,Gains In Performance
2020-09-19,69,Shallow,Lady Gaga & Bradley Cooper,NEW,1,Gains In Performance
