chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1993-07-10,1,Mi Tierra,Gloria Estefan,NEW,1,
1993-07-10,2,Aries,Luis Miguel,NEW,1,
1993-07-10,3,The Mambo Kings,Soundtrack,NEW,1,
1993-07-10,4,Live!,Selena,NEW,1,
1993-07-10,5,Gipsy Kings,Gipsy Kings,NEW,1,
1993-07-10,6,Romance,Luis Miguel,NEW,1,
1993-07-10,7,Live!,Gipsy Kings,NEW,1,
1993-07-10,8,Ahora Y Siempre,La Mafia,NEW,1,
1993-07-10,9,Otro Dia Mas Sin Verte,Jon Secada,NEW,1,
1993-07-10,10,Entre A Mi Mundo,Selena,NEW,1,
1993-07-10,11,Mosaique,Gipsy Kings,NEW,1,
1993-07-10,12,Como Nunca,Fama,NEW,1,
1993-07-10,13,Este Mundo,Gipsy Kings,NEW,1,
1993-07-10,14,Canciones de Mi Padre,Linda Ronstadt,NEW,1,
1993-07-10,15,Areito,Juan Luis Guerra 4.40,NEW,1,
1993-07-10,16,Julio,Julio Iglesias,NEW,1,
1993-07-10,17,Por El Mundo,Bronco: El Gigante De America,NEW,1,
1993-07-10,18,Frenesi,Linda Ronstadt,NEW,1,
1993-07-10,19,Live,Emilio,NEW,1,
1993-07-10,20,Donde Jugaran Los Ninos,Mana,NEW,1,
1993-07-10,21,Lo Hare Por Ti,Mazz,NEW,1,
1993-07-10,22,Cuenta Conmigo,Jerry Rivera,NEW,1,
1993-07-10,23,The Best,Ana Gabriel,NEW,1,
1993-07-10,24,Casimira,Banda Machos,NEW,1,
1993-07-10,25,Con Sangre De Indio,Banda Machos,NEW,1,
1993-07-10,26,Mas Canciones,Linda Ronstadt,NEW,1,
1993-07-10,27,Bachata Rosa,Juan Luis Guerra 4.40,NEW,1,
1993-07-10,28,Quiereme,Los Bukis,NEW,1,
1993-07-10,29,Allegria,Gipsy Kings,NEW,1,
1993-07-10,30,Hey!,Julio Iglesias,NEW,1,
1993-07-10,31,Culture Shock,Culturas,NEW,1,
1993-07-10,32,Unsung Highways,Emilio,NEW,1,
1993-07-10,33,Moments,Julio Iglesias,NEW,1,
1993-07-10,34,Calor,Julio Iglesias,NEW,1,
1993-07-10,35,En Tiempo De Amor,Di Blasio,NEW,1,
1993-07-10,36,America Y En Vivo,Luis Miguel,NEW,1,
1993-07-10,37,Estas Tocando Fuego,La Mafia,NEW,1,
1993-07-10,38,Exitos De,Gloria Estefan,NEW,1,
1993-07-10,39,Azucar Negra,Celia Cruz,NEW,1,
1993-07-10,40,Arriba El Norte...,V. Fernandez/R. Ayala,NEW,1,
1993-07-10,41,Rey Ruiz,Rey Ruiz,NEW,1,
1993-07-10,42,Pensamientos,Ram Herrera,NEW,1,
1993-07-10,43,15 Exitos,Fito Olivares y Su Grupo,NEW,1,
1993-07-10,44,Que De Raro Tiene,Vicente Fernandez,NEW,1,
1993-07-10,45,1392,David Lee Garza y Los Musicales,NEW,1,
1993-07-10,46,Que Paso?,Little Joe,NEW,1,
1993-07-10,47,Mazz Live-Una Noche Juntos,Mazz,NEW,1,
1993-07-10,48,Barroco,Di Blasio,NEW,1,
1993-07-10,49,In Concert,Julio Iglesias,NEW,1,
1993-07-10,50,Muevelo Con,El General,NEW,1,
1993-07-17,1,Mi Tierra,Gloria Estefan,1,2,Greatest gainer this week|Gains In Performance
1993-07-17,2,Aries,Luis Miguel,2,2,
1993-07-17,3,The Mambo Kings,Soundtrack,3,2,
1993-07-17,4,Live!,Selena,4,2,
1993-07-17,5,Gipsy Kings,Gipsy Kings,5,2,
1993-07-17,6,Romance,Luis Miguel,6,2,
1993-07-17,7,Ahora Y Siempre,La Mafia,8,2,
1993-07-17,8,Live!,Gipsy Kings,7,2,
1993-07-17,9,Otro Dia Mas Sin Verte,Jon Secada,9,2,
1993-07-17,10,Canciones de Mi Padre,Linda Ronstadt,14,2,
1993-07-17,11,Entre A Mi Mundo,Selena,10,2,
1993-07-17,12,Julio,Julio Iglesias,16,2,
1993-07-17,13,Mosaique,Gipsy Kings,11,2,
1993-07-17,14,Areito,Juan Luis Guerra 4.40,15,2,
1993-07-17,15,Este Mundo,Gipsy Kings,13,2,
1993-07-17,16,Por El Mundo,Bronco: El Gigante De America,17,2,
1993-07-17,17,Cuenta Conmigo,Jerry Rivera,22,2,
1993-07-17,18,Como Nunca,Fama,12,2,
1993-07-17,19,Frenesi,Linda Ronstadt,18,2,
1993-07-17,20,The Best,Ana Gabriel,23,2,
1993-07-17,21,Donde Jugaran Los Ninos,Mana,20,2,
1993-07-17,22,Con Sangre De Indio,Banda Machos,25,2,
1993-07-17,23,Bachata Rosa,Juan Luis Guerra 4.40,27,2,
1993-07-17,24,Lo Hare Por Ti,Mazz,21,2,
1993-07-17,25,Mas Canciones,Linda Ronstadt,26,2,
1993-07-17,26,Casimira,Banda Machos,24,2,
1993-07-17,27,Quiereme,Los Bukis,28,2,
1993-07-17,28,Live,Emilio,19,2,
1993-07-17,29,Hey!,Julio Iglesias,30,2,
1993-07-17,30,En Tiempo De Amor,Di Blasio,35,2,
1993-07-17,31,Allegria,Gipsy Kings,29,2,
1993-07-17,32,Rey Ruiz,Rey Ruiz,41,2,Biggest percentage gainer this week|Gains In Performance
1993-07-17,33,America Y En Vivo,Luis Miguel,36,2,
1993-07-17,34,Estas Tocando Fuego,La Mafia,37,2,
1993-07-17,35,Moments,Julio Iglesias,33,2,
