chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1986-09-06,1,La guirnalda,Rocio Durcal,NEW,1,
1986-09-13,1,Yo no se que me paso,Juan Gabriel,NEW,1,
1986-09-20,1,Yo no se que me paso,Juan Gabriel,1,2,
1986-09-20,2,La guirnalda,Rocio Durcal,RE,2,
1986-09-20,3,Toda la vida,Emmanuel,NEW,1,
1986-09-20,4,Toda la vida,Franco,NEW,1,
1986-09-20,5,Hasta cuando,Beatriz Adriana,NEW,1,
1986-09-20,6,Solo el y yo,Pandora,NEW,1,
1986-09-20,7,De corazon a corazon,Roberto Carlos,NEW,1,
1986-09-20,8,Rosa,Nicola de Bari,NEW,1,
1986-09-20,9,Atrevete,Caridad Canelon,NEW,1,
1986-09-20,10,Pruebame,Jose Jose,NEW,1,
1986-09-20,11,Vibro,Rocio Jurado,NEW,1,
1986-09-20,12,No controles,Flans,NEW,1,
1986-09-20,13,Por ella,El Gran Combo de Puerto Rico,NEW,1,
1986-09-20,14,Me la estas poniendo dificil,Camilo Sesto,NEW,1,
1986-09-20,15,Vivo,Lissette,NEW,1,
1986-09-20,16,El viejo,Roberto Torres,NEW,1,
1986-09-20,17,La otra parte de ti,Jorge Muniz,NEW,1,
1986-09-20,18,No renunciare,Jorge Rigo,NEW,1,
1986-09-20,19,Corazon vacio,Los Yonic's,NEW,1,
1986-09-20,20,Noche tropical,Lisa Lopez,NEW,1,
1986-09-20,21,Besame,Menudo,NEW,1,
1986-09-20,22,Tu me quemas,Luis Angel,NEW,1,
1986-09-20,23,Asesina,Bonny Cepeda,NEW,1,
1986-09-20,24,El engano,Erica Buenfil,NEW,1,
1986-09-20,26,Eva,Lissette,NEW,1,
1986-09-20,27,Debajo de aquel arbol,Ramon Ayala,NEW,1,
1986-09-20,28,Oiga,Joan Sebastian & Prisma,NEW,1,
1986-09-20,29,Nunca cambies,Napoleon,NEW,1,
1986-09-20,30,Enamorar,Sandy Reyes,NEW,1,
1986-09-20,31,Si tu supieras,La Mafia,NEW,1,
1986-09-20,32,Cole,The New York Band,NEW,1,
1986-09-20,35,Simbolo sexual,Roberto Carlos,NEW,1,
1986-09-20,36,Fiera,Nelson Ned,NEW,1,
1986-09-20,37,La suavecita,Tam y Tex,NEW,1,
1986-09-20,38,Dame un beso,Yuri,NEW,1,
1986-09-20,39,Tu me quemas,Eddie Santiago,NEW,1,
1986-09-20,40,Me gusta ser sonrisa,Flans,NEW,1,
1986-09-20,41,Mi problema,Marisela,NEW,1,
1986-09-20,42,Contradicciones,Roberto Carlos,NEW,1,
1986-09-20,45,Adios que te vaya bien,Mario Pintor,NEW,1,
1986-09-20,46,El muneco,Liberacion,NEW,1,
1986-09-20,47,Quedate conmigo esta noche,Rocio Durcal,NEW,1,
1986-09-20,48,Tres,Alvaro Torres,NEW,1,
1986-09-20,49,Vuelve,Chayanne,NEW,1,
1986-09-27,1,Yo no se que me paso,Juan Gabriel,1,3,
1986-09-27,2,Toda la vida,Emmanuel,3,2,
1986-09-27,3,La guirnalda,Rocio Durcal,2,3,
1986-09-27,4,Toda la vida,Franco,4,2,
1986-09-27,5,Solo el y yo,Pandora,6,2,
1986-09-27,6,Hasta cuando,Beatriz Adriana,5,2,
1986-09-27,7,Eva,Lissette,26,2,
1986-09-27,8,Vibro,Rocio Jurado,11,2,
1986-09-27,9,No controles,Flans,12,2,
1986-09-27,10,Asesina,Bonny Cepeda,23,2,
1986-09-27,11,Tu me quemas,Eddie Santiago,39,2,
1986-09-27,12,Me la estas poniendo dificil,Camilo Sesto,14,2,
1986-09-27,13,Tu me quemas,Luis Angel,22,2,
1986-09-27,14,Atrevete,Caridad Canelon,9,2,
1986-09-27,15,De corazon a corazon,Roberto Carlos,7,2,
1986-09-27,16,Pruebame,Jose Jose,10,2,
1986-09-27,17,Rosa,Nicola de Bari,8,2,
1986-09-27,18,No renunciare,Jorge Rigo,18,2,
1986-09-27,19,Oiga,Joan Sebastian & Prisma,28,2,
1986-09-27,20,Por ella,El Gran Combo de Puerto Rico,13,2,
1986-09-27,21,Besame,Menudo,21,2,
1986-09-27,22,Corazon vacio,Los Yonic's,19,2,
1986-09-27,23,Part time lover,Bobby Valentin,NEW,1,
1986-09-27,24,Se me sigue olvidando,Jose Feliciano,NEW,1,
1986-09-27,25,Garantia,El Gran Combo de Puerto Rico,NEW,1,
1986-09-27,26,Cole,The New York Band,32,2,
1986-09-27,27,La primera vez,Jose Luis Perales,NEW,1,
1986-09-27,28,Dame un beso,Yuri,38,2,
1986-09-27,29,Vivo,Lissette,15,2,
1986-09-27,30,Contradicciones,Roberto Carlos,42,2,
1986-09-27,31,El viejo,Roberto Torres,16,2,
1986-09-27,32,Sin un amor,Gilberto Santa Rosa,NEW,1,
1986-09-27,33,Lo que es de Juan,Willie Colon,NEW,1,
1986-09-27,34,Quemare,Las Diego,NEW,1,
1986-09-27,35,Noche tropical,Lisa Lopez,20,2,
1986-09-27,36,Como no quererte a ti,Fresas,NEW,1,
1986-09-27,37,El engano,Erica Buenfil,24,2,
1986-09-27,38,La otra parte de ti,Jorge Muniz,17,2,
1986-09-27,39,Quedate conmigo esta noche,Rocio Durcal,47,2,
1986-09-27,40,Enamorar,Sandy Reyes,30,2,
1986-09-27,41,El muneco,Liberacion,46,2,
1986-09-27,42,Simbolo sexual,Roberto Carlos,35,2,
1986-09-27,43,Diselo a el,Tommy Olivencia,NEW,1,
1986-09-27,44,Estoy celoso,Diego Verdaguer,NEW,1,
1986-09-27,45,Paloma Brava,Rocio Jurado,NEW,1,
1986-09-27,46,Ay que bueno es,Conjunto Quisqueya,NEW,1,
1986-09-27,47,Tres,Alvaro Torres,48,2,
1986-09-27,48,Me gusta ser sonrisa,Flans,40,2,
1986-09-27,49,Fiera,Nelson Ned,36,2,
1986-09-27,50,Mi problema,Marisela,41,2,
1986-10-04,1,Yo no se que me paso,Juan Gabriel,1,4,
1986-10-04,2,Toda la vida,Emmanuel,2,3,
1986-10-04,3,La guirnalda,Rocio Durcal,3,4,
1986-10-04,4,Toda la vida,Franco,4,3,
1986-10-04,5,Solo el y yo,Pandora,5,3,
1986-10-04,6,Hasta cuando,Beatriz Adriana,6,3,
1986-10-04,7,Eva,Lissette,7,3,
1986-10-04,8,Vibro,Rocio Jurado,8,3,
1986-10-04,9,No controles,Flans,9,3,
1986-10-04,10,Asesina,Bonny Cepeda,10,3,
