chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1992-10-03,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,NEW,1,
1992-10-03,2,Baby-Baby-Baby,TLC,NEW,1,
1992-10-03,3,"I Wanna Love You (From ""Class Act"")",Jade,NEW,1,
1992-10-03,4,People Everyday,Arrested Development,NEW,1,
1992-10-03,5,"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,NEW,1,
1992-10-03,6,Humpin' Around,Bobby Brown,NEW,1,
1992-10-03,7,Come & Talk To Me,Jodeci,NEW,1,
1992-10-03,8,Forever Love,Color Me Badd,NEW,1,
1992-10-03,9,She's Playing Hard To Get,Hi-Five,NEW,1,
1992-10-03,10,Real Love,Mary J. Blige,NEW,1,
1992-10-03,11,What About Your Friends,TLC,NEW,1,
1992-10-03,12,Free Your Mind,En Vogue,NEW,1,
1992-10-03,13,Jump Around,House Of Pain,NEW,1,
1992-10-03,14,Please Don't Go,K.W.S.,NEW,1,
1992-10-03,15,Giving Him Something He Can Feel,En Vogue,NEW,1,
1992-10-03,16,Back To The Hotel,N2Deep,NEW,1,
1992-10-03,17,Rhythm Is A Dancer,Snap!,NEW,1,
1992-10-03,18,Move This,Technotronic Featuring Ya Kid K,NEW,1,
1992-10-03,19,Keep On Walkin',CeCe Peniston,NEW,1,
1992-10-03,20,Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement,NEW,1,
1992-10-03,21,Kickin' It,After 7,NEW,1,
1992-10-03,22,You Gotta Believe,Marky Mark & The Funky Bunch,NEW,1,
1992-10-03,23,"You Remind Me (From ""Strictly Business"")",Mary J. Blige,NEW,1,
1992-10-03,24,Right Now,Al B. Sure!,NEW,1,
1992-10-03,25,You Lied To Me,Cathy Dennis,NEW,1,
1992-10-03,26,Just Another Day,Jon Secada,NEW,1,
1992-10-03,27,Would I Lie To You?,Charles & Eddie,NEW,1,
1992-10-03,28,Sweet November,Troop,NEW,1,
1992-10-03,29,Someone To Hold,Trey Lorenz,NEW,1,
1992-10-03,30,Stay,Shakespear's Sister,NEW,1,
1992-10-03,31,"Yeah, Yeah, Yeah!",Voices,NEW,1,
1992-10-03,32,"Give U My Heart (From ""Boomerang"")",Babyface (Featuring Toni Braxton),NEW,1,
1992-10-03,33,Work To Do,Vanessa Williams,NEW,1,
1992-10-03,34,Crossover,EPMD,NEW,1,
1992-10-03,35,Thank You,The Cover Girls,NEW,1,
1992-10-03,36,Good Enough,Bobby Brown,NEW,1,
1992-10-03,37,Where Does That Leave Love,George Lamond,NEW,1,
1992-10-03,38,Get Ready For This,2 Unlimited,NEW,1,
1992-10-03,39,Sesame's Treet,Smart E's,NEW,1,
1992-10-03,40,"I Wanna Make Love To You (From ""Innocent Blood"")",Rhythm Syndicate,NEW,1,
1992-10-10,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,2,
1992-10-10,2,Baby-Baby-Baby,TLC,2,2,
1992-10-10,3,People Everyday,Arrested Development,4,2,Gains In Performance
1992-10-10,4,"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,5,2,Gains In Performance
1992-10-10,5,"I Wanna Love You (From ""Class Act"")",Jade,3,2,
1992-10-10,6,Real Love,Mary J. Blige,10,2,Gains In Performance
1992-10-10,7,Humpin' Around,Bobby Brown,6,2,
1992-10-10,8,What About Your Friends,TLC,11,2,Gains In Performance
1992-10-10,9,She's Playing Hard To Get,Hi-Five,9,2,
1992-10-10,10,Come & Talk To Me,Jodeci,7,2,
1992-10-10,11,Free Your Mind,En Vogue,12,2,Gains In Performance
1992-10-10,12,Forever Love,Color Me Badd,8,2,
1992-10-10,13,Please Don't Go,K.W.S.,14,2,Gains In Performance
1992-10-10,14,Rhythm Is A Dancer,Snap!,17,2,Gains In Performance
1992-10-10,15,Jump Around,House Of Pain,13,2,
1992-10-10,16,Back To The Hotel,N2Deep,16,2,
1992-10-10,17,Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement,20,2,Gains In Performance
1992-10-10,18,Giving Him Something He Can Feel,En Vogue,15,2,
1992-10-10,19,Move This,Technotronic Featuring Ya Kid K,18,2,
1992-10-10,20,Keep On Walkin',CeCe Peniston,19,2,
1992-10-10,21,You Gotta Believe,Marky Mark & The Funky Bunch,22,2,
1992-10-10,22,You Lied To Me,Cathy Dennis,25,2,Gains In Performance
1992-10-10,23,Someone To Hold,Trey Lorenz,29,2,
1992-10-10,24,Work To Do,Vanessa Williams,33,2,
1992-10-10,25,My Name Is Prince,Prince And The New Power Generation,NEW,1,
1992-10-10,26,Sweet November,Troop,28,2,
1992-10-10,27,Right Now,Al B. Sure!,24,2,
1992-10-10,28,Stay,Shakespear's Sister,30,2,Gains In Performance
1992-10-10,29,Kickin' It,After 7,21,2,
1992-10-10,30,Would I Lie To You?,Charles & Eddie,27,2,
1992-10-10,31,"You Remind Me (From ""Strictly Business"")",Mary J. Blige,23,2,
1992-10-10,32,"Give U My Heart (From ""Boomerang"")",Babyface (Featuring Toni Braxton),32,2,
1992-10-10,33,If I Ever Fall In Love,Shai,NEW,1,Gains In Performance
1992-10-10,34,Where Does That Leave Love,George Lamond,37,2,Gains In Performance
1992-10-10,35,"Yeah, Yeah, Yeah!",Voices,31,2,
1992-10-10,36,Good Enough,Bobby Brown,36,2,
1992-10-10,37,Thank You,The Cover Girls,35,2,
1992-10-10,38,Crossover,EPMD,34,2,
1992-10-10,39,Get Ready For This,2 Unlimited,38,2,
1992-10-10,40,Sesame's Treet,Smart E's,39,2,
1992-10-17,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,3,Gains In Performance
1992-10-17,2,"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,4,3,Gains In Performance
1992-10-17,3,People Everyday,Arrested Development,3,3,Gains In Performance
1992-10-17,4,Real Love,Mary J. Blige,6,3,Gains In Performance
1992-10-17,5,Erotica,Madonna,NEW,1,
1992-10-17,6,Baby-Baby-Baby,TLC,2,3,
1992-10-17,7,What About Your Friends,TLC,8,3,Gains In Performance
1992-10-17,8,She's Playing Hard To Get,Hi-Five,9,3,Gains In Performance
1992-10-17,9,Humpin' Around,Bobby Brown,7,3,
1992-10-17,10,"I Wanna Love You (From ""Class Act"")",Jade,5,3,
1992-10-17,11,Free Your Mind,En Vogue,11,3,Gains In Performance
1992-10-17,12,Rhythm Is A Dancer,Snap!,14,3,Gains In Performance
1992-10-17,13,Come & Talk To Me,Jodeci,10,3,
1992-10-17,14,If I Ever Fall In Love,Shai,33,2,
1992-10-17,15,Jump Around,House Of Pain,15,3,
1992-10-17,16,Please Don't Go,K.W.S.,13,3,
1992-10-17,17,Forever Love,Color Me Badd,12,3,
1992-10-17,18,Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement,17,3,Gains In Performance
1992-10-17,19,Back To The Hotel,N2Deep,16,3,Gains In Performance
1992-10-17,20,My Name Is Prince,Prince And The New Power Generation,25,2,Gains In Performance
1992-10-17,21,Keep On Walkin',CeCe Peniston,20,3,
1992-10-17,22,You Gotta Believe,Marky Mark & The Funky Bunch,21,3,
1992-10-17,23,Good Enough,Bobby Brown,36,3,
1992-10-17,24,Move This,Technotronic Featuring Ya Kid K,19,3,
1992-10-17,25,You Lied To Me,Cathy Dennis,22,3,Gains In Performance
1992-10-17,26,Someone To Hold,Trey Lorenz,23,3,Gains In Performance
1992-10-17,27,Giving Him Something He Can Feel,En Vogue,18,3,
1992-10-17,28,Right Now,Al B. Sure!,27,3,Gains In Performance
1992-10-17,29,Work To Do,Vanessa Williams,24,3,
1992-10-17,30,Sweet November,Troop,26,3,
1992-10-17,31,Stay,Shakespear's Sister,28,3,
1992-10-17,32,Would I Lie To You?,Charles & Eddie,30,3,
1992-10-17,33,Kickin' It,After 7,29,3,
1992-10-17,34,Crossover,EPMD,38,3,
1992-10-17,35,Where Does That Leave Love,George Lamond,34,3,
1992-10-17,36,Get Ready For This,2 Unlimited,39,3,Gains In Performance
1992-10-17,37,"Saving Forever For You (From ""Beverly Hills, 90210"")",Shanice,NEW,1,Gains In Performance
1992-10-17,38,Here It Comes,MC Serch,NEW,1,Gains In Performance
1992-10-17,39,Thank You,The Cover Girls,37,3,
1992-10-17,40,The Message,Sofia Shinas,NEW,1,Gains In Performance
1992-10-24,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,4,Gains In Performance
1992-10-24,2,People Everyday,Arrested Development,3,4,Gains In Performance
1992-10-24,3,Real Love,Mary J. Blige,4,4,Gains In Performance
1992-10-24,4,"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,2,4,
