chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1990-11-03,1,Ice Ice Baby,Vanilla Ice,NEW,1,Gains In Performance
1990-11-03,2,Black Cat,Janet Jackson,NEW,1,
1990-11-03,3,Love Takes Time,Mariah Carey,NEW,1,Gains In Performance
1990-11-03,4,Giving You The Benefit,Pebbles,NEW,1,Gains In Performance
1990-11-03,5,I Don't Have The Heart,James Ingram,NEW,1,
1990-11-03,6,Pray,M.C. Hammer,NEW,1,Gains In Performance
1990-11-03,7,Can't Stop,After 7,NEW,1,
1990-11-03,8,More Than Words Can Say,Alias,NEW,1,Gains In Performance
1990-11-03,9,Suicide Blonde,INXS,NEW,1,
1990-11-03,10,Cherry Pie,Warrant,NEW,1,
1990-11-03,11,Knockin' Boots,Candyman,NEW,1,Gains In Performance
1990-11-03,12,Groove Is In The Heart,Deee-Lite,NEW,1,Gains In Performance
1990-11-03,13,Close To You,Maxi Priest,NEW,1,
1990-11-03,14,Everybody Everybody,Black Box,NEW,1,
1990-11-03,15,Feels Good,Tony! Toni! Tone!,NEW,1,Gains In Performance
1990-11-03,16,Something To Believe In,Poison,NEW,1,Gains In Performance
1990-11-03,17,Unchained Melody,The Righteous Brothers,NEW,1,
1990-11-03,18,I'm Your Baby Tonight,Whitney Houston,NEW,1,Gains In Performance
1990-11-03,19,Unchained Melody,The Righteous Brothers,NEW,1,
1990-11-03,20,Praying For Time,George Michael,NEW,1,
1990-11-03,21,Joey,Concrete Blonde,NEW,1,Gains In Performance
1990-11-03,22,So Close,Daryl Hall John Oates,NEW,1,Gains In Performance
1990-11-03,23,Romeo,Dino,NEW,1,
1990-11-03,24,From A Distance,Bette Midler,NEW,1,Gains In Performance
1990-11-03,25,(Can't Live Without Your) Love And Affection,Nelson,NEW,1,
1990-11-03,26,Hippychick,Soho,NEW,1,Gains In Performance
1990-11-03,27,Because I Love You (The Postman Song),Stevie B,NEW,1,
1990-11-03,28,Stranded,Heart,NEW,1,Gains In Performance
1990-11-03,29,Fly To the Angels,Slaughter,NEW,1,
1990-11-03,30,The Way You Do The Things You Do,UB40,NEW,1,Gains In Performance
1990-11-03,31,Impulsive,Wilson Phillips,NEW,1,Gains In Performance
1990-11-03,32,Say A Prayer,Breathe,NEW,1,
1990-11-03,33,Something Happened On The Way To Heaven,Phil Collins,NEW,1,
1990-11-03,34,Lyin' To Myself,David Cassidy,NEW,1,Gains In Performance
1990-11-03,35,High Enough,Damn Yankees,NEW,1,Gains In Performance
1990-11-03,36,Do Me!,Bell Biv DeVoe,NEW,1,
1990-11-03,37,Heart Like A Wheel,The Human League,NEW,1,Gains In Performance
1990-11-03,38,Tom's Diner,DNA Featuring Suzanne Vega,NEW,1,Gains In Performance
1990-11-03,39,Freedom,George Michael,NEW,1,
1990-11-03,40,My Love Is A Fire,Donny Osmond,NEW,1,Gains In Performance
1990-11-03,41,Miracle,Jon Bon Jovi,NEW,1,Gains In Performance
1990-11-03,42,Think,Information Society,NEW,1,Gains In Performance
1990-11-03,43,B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,NEW,1,Gains In Performance
1990-11-03,44,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,NEW,1,
1990-11-03,45,Oh Girl,Paul Young,NEW,1,
1990-11-03,46,Wiggle It,2 In A Room,NEW,1,Gains In Performance
1990-11-03,47,Policy Of Truth,Depeche Mode,NEW,1,
1990-11-03,48,Tic-Tac-Toe,Kyper,NEW,1,
1990-11-03,49,Miles Away,Winger,NEW,1,Gains In Performance
1990-11-03,50,Missunderstanding,Al B. Sure!,NEW,1,Gains In Performance
1990-11-10,1,Close To You,Maxi Priest,13,2,
1990-11-10,2,I Don't Have The Heart,James Ingram,5,2,
1990-11-10,3,Ice Ice Baby,Vanilla Ice,1,2,
1990-11-10,4,Giving You The Benefit,Pebbles,4,2,
1990-11-10,5,Love Takes Time,Mariah Carey,3,2,
1990-11-10,6,Can't Stop,After 7,7,2,
1990-11-10,7,Something Happened On The Way To Heaven,Phil Collins,33,2,
1990-11-10,8,I'm Your Baby Tonight,Whitney Houston,18,2,
1990-11-10,9,(Can't Live Without Your) Love And Affection,Nelson,25,2,
1990-11-10,10,More Than Words Can Say,Alias,8,2,
1990-11-10,11,Black Cat,Janet Jackson,2,2,
1990-11-10,12,Feels Good,Tony! Toni! Tone!,15,2,
1990-11-10,13,Because I Love You (The Postman Song),Stevie B,27,2,
1990-11-10,14,Romeo,Dino,23,2,
1990-11-10,15,Everybody Everybody,Black Box,14,2,
1990-11-10,16,The Way You Do The Things You Do,UB40,30,2,
1990-11-10,17,Pray,M.C. Hammer,6,2,
1990-11-10,18,Groove Is In The Heart,Deee-Lite,12,2,
1990-11-10,19,Freedom,George Michael,39,2,
1990-11-10,20,Something To Believe In,Poison,16,2,
1990-11-10,21,Do Me!,Bell Biv DeVoe,36,2,
1990-11-10,22,Praying For Time,George Michael,20,2,
1990-11-10,23,Release Me,Wilson Phillips,52,2,
1990-11-10,24,Impulsive,Wilson Phillips,31,2,
1990-11-10,25,Oh Girl,Paul Young,45,2,
1990-11-10,26,From A Distance,Bette Midler,24,2,
1990-11-10,27,So Close,Daryl Hall John Oates,22,2,
1990-11-10,28,Hippychick,Soho,26,2,
1990-11-10,29,Stranded,Heart,28,2,
1990-11-10,30,Wiggle It,2 In A Room,46,2,
1990-11-10,31,Knockin' Boots,Candyman,11,2,
