chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
2013-01-26,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,NEW,1,
2013-01-26,2,Locked Out Of Heaven,Bruno Mars,NEW,1,
2013-01-26,3,Diamonds,Rihanna,NEW,1,
2013-01-26,4,Ho Hey,The Lumineers,NEW,1,
2013-01-26,5,It's Time,Imagine Dragons,NEW,1,
2013-01-26,6,Don't You Worry Child,Swedish House Mafia Featuring John Martin,NEW,1,
2013-01-26,7,Radioactive,Imagine Dragons,NEW,1,
2013-01-26,8,Swimming Pools (Drank),Kendrick Lamar,NEW,1,
2013-01-26,9,Scream & Shout,will.i.am & Britney Spears,NEW,1,
2013-01-26,10,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",NEW,1,
2013-01-26,11,Some Nights,fun.,NEW,1,
2013-01-26,12,Die Young,Ke$ha,NEW,1,
2013-01-26,13,Gangnam Style,PSY,NEW,1,
2013-01-26,14,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,NEW,1,
2013-01-26,15,Sweet Nothing,Calvin Harris Featuring Florence Welch,NEW,1,
2013-01-26,16,One More Night,Maroon 5,NEW,1,
2013-01-26,17,Home,Phillip Phillips,NEW,1,
2013-01-26,18,The A Team,Ed Sheeran,NEW,1,
2013-01-26,19,Little Talks,Of Monsters and Men,NEW,1,
2013-01-26,20,I Cry,Flo Rida,NEW,1,
2013-01-26,21,We Are Never Ever Getting Back Together,Taylor Swift,NEW,1,
2013-01-26,22,Clique,"Kanye West, Jay-Z, Big Sean",NEW,1,
2013-01-26,23,Thinkin Bout You,Frank Ocean,NEW,1,
2013-01-26,24,I Will Wait,Mumford & Sons,NEW,1,
2013-01-26,25,Lights,Ellie Goulding,NEW,1,
2013-01-26,26,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,NEW,1,
2013-01-26,27,No Worries,Lil Wayne Featuring Detail,NEW,1,
2013-01-26,28,Girl On Fire,Alicia Keys Featuring Nicki Minaj,NEW,1,
2013-01-26,29,We Are Young,fun. Featuring Janelle Monae,NEW,1,
2013-01-26,30,I'm Different,2 Chainz,NEW,1,
2013-01-26,31,Call Me Maybe,Carly Rae Jepsen,NEW,1,
2013-01-26,32,Somebody That I Used To Know,Gotye Featuring Kimbra,NEW,1,
2013-01-26,33,Little Things,One Direction,NEW,1,
2013-01-26,34,Too Close,Alex Clare,NEW,1,
2013-01-26,35,As Long As You Love Me,Justin Bieber Featuring Big Sean,NEW,1,
