chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1993-09-18,1,Another Sad Love Song,Toni Braxton,NEW,1,
1993-09-18,2,For The Cool In You,Babyface,NEW,1,
1993-09-18,3,Laid Back Girl,Maze Featuring Frankie Beverly,NEW,1,
1993-09-18,4,Lately,Jodeci,NEW,1,
1993-09-18,5,Somebody Else Will,The O'Jays,NEW,1,
1993-09-18,6,One Last Cry,Brian McKnight,NEW,1,
1993-09-18,7,Dreamlover,Mariah Carey,NEW,1,
1993-09-18,8,Something's Goin' On,U.N.V.,NEW,1,
1993-09-18,9,If,Janet Jackson,NEW,1,
1993-09-18,10,abc-123,Levert,NEW,1,
1993-09-18,11,Cry No More,II D Extreme,NEW,1,
1993-09-18,12,Right Here/Human Nature,SWV,NEW,1,
1993-09-18,13,Heaven Knows,Luther Vandross,NEW,1,
1993-09-18,14,It's For You,Shanice,NEW,1,
1993-09-18,15,Sunday Morning,"Earth, Wind & Fire",NEW,1,
1993-09-18,16,Baby I'm Yours,Shai,NEW,1,
1993-09-18,17,I'm In Luv,Joe,NEW,1,
1993-09-18,18,That's The Way Love Goes,Janet Jackson,NEW,1,
1993-09-18,19,Runaway Love,En Vogue Featuring FMOB,NEW,1,
1993-09-18,20,One Woman,Jade,NEW,1,
1993-09-18,21,Something In Your Eyes,Bell Biv DeVoe,NEW,1,
1993-09-18,22,Lose Control,Silk,NEW,1,Gains In Performance
1993-09-18,23,If I Could,Regina Belle,NEW,1,Gains In Performance
1993-09-18,24,There's No Living Without You,Will Downing,NEW,1,Gains In Performance
1993-09-18,25,Voodoo,Teddy Pendergrass,NEW,1,Gains In Performance
1993-09-18,26,Aphrodisia,Alexander O'Neal,NEW,1,Gains In Performance
1993-09-18,27,Always,Vesta,NEW,1,Gains In Performance
1993-09-18,28,Downtown,SWV,NEW,1,Gains In Performance
1993-09-18,29,Seems You're Much Too Busy,Vertical Hold,NEW,1,Gains In Performance
1993-09-18,30,Little Miracles,Luther Vandross,NEW,1,Gains In Performance
